,cik,filing_date,Stock Change
0,946581,2016-05-19,-0.005363388523173083
1,946581,2017-05-24,-0.062395547331248115
2,96021,2018-08-27,-0.02146496450857703
3,96021,2019-08-26,0.07321067291469192
4,96943,2016-02-25,0.08133428335716396
5,96943,2017-02-23,0.05888430806260916
6,96943,2018-02-22,0.04253521988340582
7,96943,2019-02-21,0.09653735329015582
8,97210,2016-02-29,0.10324944031613204
9,97210,2017-03-01,0.06983146570197385
10,97210,2018-03-01,0.018040034099484244
11,97210,2019-03-01,-0.0282926792051734
12,97476,2016-02-24,0.07891726004383048
13,97476,2017-02-23,0.046020262896634065
14,97476,2018-02-22,0.04531895574562117
15,97476,2019-02-22,0.04575532358416464
16,97745,2016-02-25,0.06471621715743629
17,97745,2017-02-28,-0.019596629131282493
18,97745,2018-02-28,-0.009396906207023388
19,97745,2019-02-27,0.047464641111699936
20,927628,2020-02-20,-0.5532161685098476
21,927653,2020-05-22,0.048721716426910734
22,93410,2016-02-25,0.11195773834343938
23,93410,2018-02-22,0.06506507931196177
24,93410,2017-02-23,-0.02368940130554599
25,93410,2019-02-22,0.05419215389713871
26,93556,2016-02-19,0.10608697974163553
27,93556,2017-02-15,0.023518296728476343
28,93556,2019-02-26,-0.031125797774215272
29,93556,2018-02-27,-0.03198266850697203
30,935703,2017-03-28,0.08595681174840998
31,936340,2016-02-10,0.02494469917174934
32,936340,2017-02-09,0.029832242053044317
33,936340,2018-02-16,-0.033263618609912046
34,936340,2019-02-07,0.034488541266543
35,936468,2016-02-24,0.021372799333721396
36,936468,2017-02-09,0.03687059861964107
37,936468,2018-02-06,0.014129533059082823
38,936468,2019-02-08,0.005008324264096186
39,93751,2016-02-19,0.050898748536222754
40,93751,2017-02-17,-0.0007437406713224228
41,93751,2018-02-26,-0.08528366070378272
42,93751,2019-02-21,-0.05430864716502672
43,9389,2016-02-16,0.03501357712084438
44,9389,2017-03-02,0.013511744759411661
45,9389,2018-03-01,0.005316432518295095
46,9389,2019-02-22,0.06478468946423521
47,940944,2017-07-21,-0.05288681129078119
48,940944,2018-07-20,0.03068983720573803
49,940944,2019-07-19,-0.058757374590566264
50,943452,2016-02-19,0.19003715656947026
51,943452,2018-02-26,-0.07573948892518352
52,943452,2017-02-28,-0.06365459222020801
53,943452,2019-02-27,-0.041434297744151256
54,943819,2016-08-05,-0.039942748410524566
55,943819,2017-08-04,0.03329338289950739
56,945841,2016-02-26,0.04619331167926671
57,945841,2017-02-24,0.02368647748615587
58,945841,2018-02-28,0.03962907533926292
59,945841,2019-02-27,-0.01998012349494454
60,915912,2016-02-26,0.07974564411949567
61,915912,2018-02-23,0.0015624024034906114
62,915912,2019-02-22,0.013466636809128997
63,915912,2020-02-21,-0.42276996469171685
64,916076,2016-02-23,0.1260929042936859
65,916076,2017-02-24,0.016377064467638255
66,916076,2018-02-23,-0.04664899816509421
67,916076,2019-02-25,0.018556810289347445
68,916365,2016-02-23,0.049369561404667944
69,916365,2018-02-22,-0.059583552653780306
70,916365,2017-02-23,-0.03126762282680458
71,916365,2019-02-21,-0.0611277205916182
72,920148,2017-02-27,-0.0057415437765468945
73,920148,2016-02-29,0.039056819542586385
74,920148,2018-02-27,-0.06045392418224846
75,920148,2019-02-28,0.01801131995417011
76,920522,2016-02-26,0.07729312942451663
77,920522,2017-02-24,0.01902301722762225
78,920522,2018-02-22,0.06859514057243149
79,920522,2019-02-21,0.018749329727156448
80,920760,2018-01-25,-0.137724552899883
81,920760,2019-01-28,0.09703503257873104
82,92122,2016-02-26,0.056235795318490024
83,92122,2017-02-22,0.04123283473889492
84,92122,2018-02-21,0.021668227978832517
85,92122,2019-02-20,0.02513067868554464
86,922224,2016-02-19,0.022062964390230713
87,922224,2017-02-17,0.031153538509009076
88,922224,2018-02-22,-0.077913316691846
89,922224,2019-02-14,0.06382981380156257
90,92230,2017-02-21,-0.036674350378699504
91,92230,2016-02-25,0.03693434552936642
92,92230,2018-02-21,-0.007986905527142481
93,92230,2020-03-03,-0.3926210297941772
94,92380,2017-02-07,0.08521871002533206
95,92380,2016-02-03,0.1384364400922196
96,92380,2018-02-07,0.006218701229005985
97,92380,2019-02-05,-0.06997234212719458
98,927066,2016-02-26,0.07658748175448525
99,927066,2017-02-24,-0.04229429504959051
100,927066,2018-02-23,-0.10098386661424716
101,927066,2020-02-21,-0.22713758242268717
102,927628,2016-02-25,0.05028611953269785
103,927628,2017-02-23,-0.10416446820974112
104,927628,2018-02-21,0.013143020713818033
105,906163,2016-02-17,0.06850439345839279
106,906163,2017-02-15,0.058997178335829355
107,906163,2019-02-13,0.06484924213430794
108,906163,2018-02-14,0.02326461063168308
109,906345,2016-02-19,0.11552013585778412
110,906345,2017-02-13,-0.02779474340590304
